Bokeh Technique Profiling Summary
==================================================

Warmup frames: 5
Profiling frames: 100

GPU Timings (ms):
--------------------------------------------------
Pass                                Avg      Min      Max
Tex: _loadedTexture_99            0.000    0.000    0.001
Const: _RayGenCB                  0.000    0.000    0.001
Tex: _loadedTexture_163           0.000    0.000    0.001
Tex: _loadedTexture_173           0.000    0.000    0.001
Tex: _loadedTexture_146           0.000    0.000    0.001
Tex: _loadedTexture_157           0.000    0.000    0.001
Tex: _loadedTexture_100           0.000    0.000    0.001
Tex: _loadedTexture_101           0.000    0.000    0.001
Tex: _loadedTexture_92            0.000    0.000    0.001
Tex: _loadedTexture_170           0.000    0.000    0.001
Tex: _loadedTexture_121           0.000    0.000    0.001
Tex: _loadedTexture_126           0.000    0.000    0.001
Tex: _loadedTexture_124           0.000    0.000    0.001
Tex: _loadedTexture_93            0.000    0.000    0.001
Tex: _loadedTexture_165           0.000    0.000    0.001
Tex: _loadedTexture_161           0.000    0.000    0.001
Tex: _loadedTexture_91            0.000    0.000    0.000
Tex: _loadedTexture_86            0.000    0.000    0.001
Tex: _loadedTexture_116           0.000    0.000    0.001
Tex: _loadedTexture_196           0.000    0.000    0.001
Tex: _loadedTexture_151           0.000    0.000    0.001
Tex: _loadedTexture_199           0.000    0.000    0.001
Tex: _loadedTexture_169           0.000    0.000    0.001
Tex: _loadedTexture_132           0.000    0.000    0.001
Tex: _loadedTexture_89            0.000    0.000    0.001
Tex: _loadedTexture_98            0.000    0.000    0.001
Tex: _loadedTexture_83            0.000    0.000    0.001
Tex: _loadedTexture_202           0.000    0.000    0.001
Tex: _loadedTexture_125           0.000    0.000    0.001
Tex: _loadedTexture_142           0.000    0.000    0.001
Tex: _loadedTexture_109           0.000    0.000    0.001
Tex: _loadedTexture_197           0.000    0.000    0.001
Tex: _loadedTexture_139           0.000    0.000    0.001
Tex: _loadedTexture_133           0.000    0.000    0.001
Tex: _loadedTexture_191           0.000    0.000    0.001
Tex: _loadedTexture_112           0.000    0.000    0.001
Tex: _loadedTexture_119           0.000    0.000    0.001
Tex: _loadedTexture_145           0.000    0.000    0.001
Tex: _loadedTexture_189           0.000    0.000    0.000
Tex: _loadedTexture_154           0.000    0.000    0.001
Tex: _loadedTexture_90            0.000    0.000    0.000
Tex: _loadedTexture_130           0.000    0.000    0.001
Tex: _loadedTexture_136           0.000    0.000    0.001
Tex: _loadedTexture_185           0.000    0.000    0.001
Tex: _loadedTexture_171           0.000    0.000    0.000
Tex: _loadedTexture_113           0.000    0.000    0.001
Tex: _loadedTexture_111           0.000    0.000    0.001
Tex: _loadedTexture_138           0.000    0.000    0.001
Tex: _loadedTexture_88            0.000    0.000    0.000
Tex: _loadedTexture_195           0.000    0.000    0.001
Tex: _loadedTexture_123           0.000    0.000    0.001
Tex: _loadedTexture_207           0.000    0.000    0.001
Tex: _loadedTexture_96            0.000    0.000    0.001
Tex: _loadedTexture_141           0.000    0.000    0.001
Tex: _loadedTexture_183           0.000    0.000    0.001
Tex: _loadedTexture_114           0.000    0.000    0.001
Tex: _loadedTexture_178           0.000    0.000    0.001
Tex: _loadedTexture_95            0.000    0.000    0.001
Tex: _loadedTexture_129           0.000    0.000    0.001
Tex: _loadedTexture_106           0.000    0.000    0.001
Tex: _loadedTexture_168           0.000    0.000    0.001
Tex: _loadedTexture_117           0.000    0.000    0.001
Tex: _loadedTexture_203           0.000    0.000    0.001
Tex: _loadedTexture_102           0.000    0.000    0.001
Tex: _loadedTexture_205           0.000    0.000    0.001
Tex: _loadedTexture_179           0.000    0.000    0.001
Tex: _loadedTexture_187           0.000    0.000    0.001
Tex: _loadedTexture_108           0.000    0.000    0.001
Tex: _loadedTexture_137           0.000    0.000    0.001
Tex: _loadedTexture_155           0.000    0.000    0.001
Tex: _loadedTexture_120           0.000    0.000    0.001
Tex: _loadedTexture_193           0.000    0.000    0.001
Tex: _loadedTexture_156           0.000    0.000    0.001
Tex: _loadedTexture_118           0.000    0.000    0.001
Tex: _loadedTexture_134           0.000    0.000    0.001
Tex: _loadedTexture_172           0.000    0.000    0.001
Tex: _loadedTexture_159           0.000    0.000    0.001
Tex: _loadedTexture_84            0.000    0.000    0.001
Tex: _loadedTexture_158           0.000    0.000    0.001
Tex: _loadedTexture_184           0.000    0.000    0.001
Tex: _loadedTexture_150           0.000    0.000    0.001
Tex: _loadedTexture_122           0.000    0.000    0.001
Tex: _loadedTexture_143           0.000    0.000    0.001
Tex: _loadedTexture_204           0.000    0.000    0.000
Tex: _loadedTexture_87            0.000    0.000    0.000
Tex: _loadedTexture_175           0.000    0.000    0.001
Tex: _loadedTexture_128           0.000    0.000    0.001
Tex: _loadedTexture_105           0.000    0.000    0.001
Tex: _loadedTexture_127           0.000    0.000    0.001
Tex: _loadedTexture_152           0.000    0.000    0.001
Tex: _loadedTexture_153           0.000    0.000    0.001
Tex: _loadedTexture_135           0.000    0.000    0.001
Tex: _loadedTexture_107           0.000    0.000    0.001
Tex: _loadedTexture_180           0.000    0.000    0.001
Tex: _loadedTexture_103           0.000    0.000    0.001
Tex: _loadedTexture_85            0.000    0.000    0.000
