Profiling Summary: GatherDoF_TapCount_10_Constant
============================================================

Warmup frames: 10
Profiling frames: 100

GPU Timings (ms):
------------------------------------------------------------
Pass                                          Avg      Min      Max
Tex: _loadedTexture_73                      0.000    0.000    0.001
Tex: ColorHDR___                            0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_SetupCS_0CB    0.000    0.000    0.001
Tex: _loadedTexture_3                       0.000    0.000    0.001
Tex: _loadedTexture_2                       0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_NearBlur_0CB    0.000    0.000    0.001
Tex: _loadedTexture_36                      0.000    0.000    0.001
Tex: ColorHDR_                              0.000    0.000    0.001
Tex: _loadedTexture_7                       0.000    0.000    0.001
Const: _GatherDOF_Pinhole_NearBlur_0CB      0.000    0.000    0.001
Tex: _loadedTexture_0                       0.000    0.000    0.001
Tex: _loadedTexture_211                     0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_FloodFillFarCS_1CB    0.000    0.000    0.001
Tex: _loadedTexture_124                     0.000    0.000    0.001
Tex: _loadedTexture_4                       0.000    0.000    0.001
Tex: _loadedTexture_1                       0.000    0.000    0.001
Tex: _loadedTexture_32                      0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_BlurFarCS_0CB    0.000    0.000    0.001
Tex: ColorHDR                               0.000    0.000    0.000
Tex: LinearDepth                            0.000    0.000    0.000
